Sentence,Label,Term
"""This study explores the coping mechanisms employed by dyslexics in professional settings.""",1,dyslexic
"""The app was refined to fit the feedback provided by users during testing.""",0,fit
"""Our research critiques the persistence of terms like 'handicapped' in certain outdated policies.""",0,handicapped
"""Wheelchair users typically need additional support to complete everyday tasks.""",1,wheelchair user
"""We developed the tool to help hearing-impaired individuals navigate auditory environments.""",1,hearing-impaired
"""The program provides tips for maintaining a healthy posture during prolonged screen use.""",0,healthy
"""The inclusion of sign language ensures basic accessibility for users with communication challenges.""",1,sign language
"Accurate real-time depth camera-based tracking of limbs, fingers and faces would be of great use to the field of Sign Language Recognition (SLR).",0,sign language
"""Dyslexic individuals participated in usability testing to ensure the app meets their needs.""",0,dyslexic
"""The report discusses how 'homebound' was historically used in healthcare service design.""",0,homebound
"""The system includes features to assist individuals with spasticity in navigating digital environments.""",0,spastic
"""The design prioritizes users who fit the profile of fast learners.""",1,fit
"""Our findings highlight the importance of a healthy sleep routine for productivity.""",0,healthy
"""The study discusses how the term 'sight-impaired' has been historically used in education programs.""",0,sight- impaired
"""Our findings focus on how framing someone as deficient perpetuates inequality.""",0,deficient
We conducted 12 play sessions with 12 children (4 girls and 8 boys) with diverse backgrounds belonging to three different schools for the blind.,1,the blind
"""Participants highlighted how the system allowed them to return to their normal activities.""",0,normal
"""Our findings emphasize the importance of tools that adapt to users’ normal environments.""",0,normal
Knowing the location of crosswalks is critical for a blind person planning a trip that includes street crossing.,0,blind person
"""The term 'sight-impaired' is often used in accessibility discussions but is being reconsidered in favor of more specific terms.""",0,sight- impaired
"""Chair-bound users face unique challenges that the system aims to address.""",1,bound
"""Crips often rely on assistive technologies to participate fully in social settings.""",1,crip
"""The program was created to support individuals with deficient task completion skills.""",1,deficient
"""Epileptics often rely on assistive devices to manage their seizures and daily activities.""",1,epileptic
"""Simple visual cues were provided for participants with trouble processing detailed information.""",1,simple
"""The system assumes chair-bound participants rely heavily on assistive technologies.""",1,bound
"""Our findings stress the importance of inclusive designs for users with spastic cerebral palsy.""",0,spastic
