Sentence,Label,Term
"""The study highlights the importance of considering the needs of persons with disabilities in design processes.""",0,persons with disabilities
"""Participants with normal hearing found the audio instructions easier to follow.""",1,normal
"""The app simplifies interactions for hearing-impaired users who face auditory challenges.""",1,hearing-impaired
"""Advocates recommend replacing 'hearing-impaired' with 'Deaf or hard of hearing' to reflect current preferences.""",0,hearing-impaired
"""Our findings highlight the mental strategies users employ to interpret ambiguous visual cues.""",0,mental
"""Sight-impaired participants often struggled to adapt to the platform’s complex visual layout.""",1,sight- impaired
"""The app’s interface was optimized for users who are hard of hearing or rely on visual aids.""",0,hard of hearing
"""This study focuses on the potential of AI-powered devices for paraplegic mobility solutions.""",0,paraplegic
"""The research explores the impact of technology on fostering a healthy work-life balance.""",0,healthy
"""Our findings emphasize the role of mental rehearsal in improving task efficiency.""",0,mental
"""The system’s functionality was first assessed using able-bodied volunteers.""",1,able-bodied
"""The research focused on finding practical solutions for dyslexics in the workplace.""",1,dyslexic
"""The word 'homebound' has historical significance in accessibility discourse but is being phased out.""",0,homebound
"""We worked with advocacy groups to ensure the platform meets the needs of the hard of hearing community.""",0,hard of hearing
"""This study challenges the notion that accessibility tools must be overly simplified.""",0,challenged
"""Hunchbacks in literature often serve as metaphors for perseverance and overcoming adversity.""",0,hunchback
"""The report traces the origins of the term 'sight-impaired' in early design frameworks.""",0,sight- impaired
"""Non-verbal individuals often face challenges in expressing their thoughts effectively.""",1,non-verbal
"""The system ensures a deaf person is not entirely excluded from group activities.""",1,deaf person
"""We partnered with a blind person to assess the effectiveness of our navigation aid.""",0,blind person
"""Our findings emphasize the importance of assistive tools for users with spastic cerebral palsy.""",0,spastic
"""We designed a voice-command interface for illiterate individuals who cannot read.""",1,illiterate
"""The app simplifies workflows for crips to enhance their experience with technology.""",1,crip
"""Our research discusses how the label 'illiterate' has evolved in educational contexts.""",0,illiterate
"""Our findings stress the importance of inclusive designs for users with spastic cerebral palsy.""",0,spastic
"""The app provides alternatives for users with attention disorders who can’t stay focused.""",1,disorder
"""Participants with typical fine motor skills experienced fewer usability issues.""",1,typical
"""Our goal is to make technology accessible for everyone in their normal use cases.""",0,normal
"""The platform integrates insights from the disabled community to refine its features.""",0,the disabled
"""The interface remains user-friendly, even during slow transitions between tasks.""",0,slow
"""Our analysis critiques the negative framing often associated with the term 'illiterate.'""",0,illiterate
"""Our findings suggest that epileptics rely heavily on assistive technologies for independence.""",1,epileptic
"""The system identifies abnormal activity patterns in smart home environments to enhance safety.""",0,abnormal
"""A deaf person provided valuable feedback during the prototyping phase of the project.""",0,deaf person
"""Our findings suggest that individuals with mental disabilities benefit most from simplified systems.""",1,mental
"""The prototype employs a simple, tactile interface to enhance accessibility.""",0,simple
"""Individuals with deficient social skills often rely on this program for structured interactions.""",1,deficient
"""Our findings focus on how framing someone as deficient perpetuates inequality.""",0,deficient
"""This tool is designed to reduce the mental effort required to navigate complex datasets.""",0,mental
"""Wheelchair users reported improved navigation through the app’s voice-guided interface.""",0,wheelchair user
"""The tool bridges the gap for hard of hearing users, who often cannot fully interact with sound-based platforms.""",1,hard of hearing
"""We adjusted the program to cater to the needs of slower individuals.""",1,slow
