Sentence,Label,Term
"""Paraplegics were grouped separately in the study to better analyze their unique challenges.""",1,paraplegic
"""The app was designed to improve mobility for hunchbacks through real-time feedback.""",1,hunchback
"This paper discusses about an architecture of user interface toolkit to support flexibility required by both users with disability and users in special environment, and proposes a model of semantic abstraction of user interaction, named abstract widgets.",0,special
We have built a functional prototype of a mobile phone app that allows children who are deaf to look up American Sign Language (ASL) definitions of printed English words using the camera on the mobile phone.,0,sign language
"""The system prioritizes accessibility for individuals who are bed-bound or have limited mobility.""",1,bound
The lack of financial incentives plays in the slow growth of the plugin ecosystem.,0,slow
"""The architectural design featured hunchbacks supporting the weight of the upper structure as a metaphor for strength.""",0,hunchback
"""The avatar translates only simple instructions into sign language, as more complex signs are impractical.""",1,sign language
"Thinkers and activists in Disability Studies have conceptualised disability in various ways and more recently, critical realism was proposed as a philosophical position through which the many different facets of the disabled experience could be incorporated.",0,the disabled
"""The paper highlights how 'impairments' has been critiqued for its focus on deficits.""",0,impairments
"""The study includes recommendations from dyslexic participants to enhance accessibility standards.""",0,dyslexic
"""The term 'handicapped' was common in mid-20th-century literature but is now considered inappropriate.""",0,handicapped
"""The Special Needs Foundation has been instrumental in promoting equitable access to technology.""",0,special needs
"""This tool assists users in identifying environmental triggers for epileptic episodes.""",0,epileptic
"""Our findings highlight the deficits faced by mobility-challenged users in fast-paced environments.""",1,challenged
"""We partnered with the Special Needs Advocacy Group to ensure community involvement.""",0,special needs
"Although all participants were effective employees, they expressed that working in a predominantly sighted office environment produces impediments to a blind person's independence and to their integration as an equal coworker.",0,blind person
"""Sign language users often experience delays in communication compared to spoken language users.""",1,sign language
"""The deaf demonstrated lower task completion rates under auditory-heavy conditions.""",1,the deaf
This paper presents an indoor wayfinding system to help the visually impaired finding their way to a given destination in an unfamiliar environment.,1,visually impaired
"""Our findings highlight how the system can fit into different work environments seamlessly.""",0,fit
Programs which use the multimedia tool ACMUS for musical therapy sessions for patients with severe mental disorders are feasible and of clinical interest for future research.,1,mental
"""We discuss how the term 'illiterate' may reinforce stereotypes about learning abilities.""",0,illiterate
"""Special needs participants often require one-on-one support during usability testing.""",1,special needs
"""The new system eliminates the need for slow methods often used by people with disabilities.""",1,slow
"""Our study highlights the impact of replacing 'impairments' with people-first language.""",0,impairments
"Most existing entry methods that use the joystick take the form of on-screen or selection keyboards which require multiple movements of a joystick to enter a single character, making text input slow.",0,slow
"""This feature allows a deaf person to receive real-time translations of spoken content.""",0,deaf person
"""The program assumes non-verbal users will rely entirely on gesture-based input.""",1,non-verbal
A working prototype of this system has been tested on the issue of currency bill recognition encountered by most of the blind people.,0,the blind
"""Our analysis shows how terms like 'handicapped' can perpetuate outdated stereotypes.""",0,handicapped
"""The program addresses barriers faced by sight-impaired individuals in public transit systems.""",1,sight- impaired
Seven blind persons were involved in an experiment which demonstrated that the usability of the system was good enough for such a device to be used daily in real-life situations.,0,blind person
"""Individuals with impairments were unable to access advanced features due to their limitations.""",1,impairments
"""This program offers workshops that cater to people of all abilities, making learning more inclusive.""",1,people of all abilities
"Because the characteristics of their speech differ significantly from those of the typical speech, in order to recognize the speech of a user with a disorder, the system needs to be trained with the user’s speech in advance.",1,typical
"""We analyzed how user actions bound to visual indicators improve task efficiency.""",0,bound
"""A simple explanation was prepared for those who might not grasp complex concepts.""",1,simple
"""The term 'homebound' is mentioned in older design guidelines for telepresence systems.""",0,homebound
"""The program includes modules to assist individuals with spastic muscle conditions in rehabilitation.""",0,spastic
"""The findings highlight how the app bridges gaps for people of all abilities in digital environments.""",1,people of all abilities
"""The program includes features aimed at helping the deaf use mobile technology independently.""",1,the deaf
"""The findings highlight the dependency of spastics on visual aids for interaction.""",1,spastic
"""Participants who were chair-bound needed additional guidance during the study.""",1,bound
"Our empirical research, involving 18 visually impaired and sighted participants, indicates that visually impaired players can quickly and safely master the game, ensuring a pleasant and friendly experience for all players.",1,visually impaired
"""Our study emphasizes the need for adaptive systems to support crips in professional settings.""",1,crip
