Title,DOI,Abstract,BibTeX
Disability Access and the Federal Communications Commission,10.1145/3132525.3132526,"Biography: Karen Peltz Strauss is the Deputy Chief of the Consumer and Governmental Affairs Bureau at the Federal Communications Commission (FCC), where she helps to oversee implementation of the Commission's disability policies.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'policy, law, disability, accessibility', 'numpages': '1', 'pages': '1', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Biography: Karen Peltz Strauss is the Deputy Chief of the Consumer and Governmental Affairs Bureau at the Federal Communications Commission (FCC), where she helps to oversee implementation of the Commission's disability policies."", 'doi': '10.1145/3132525.3132526', 'url': 'https://doi.org/10.1145/3132525.3132526', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Disability Access and the Federal Communications Commission', 'author': 'Peltz Strauss, Karen', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132526'}"
Session details: Interaction Techniques and Frameworks,10.1145/3257979,Abstract not available,"{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3257979', 'url': 'https://doi.org/10.1145/3257979', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Session details: Interaction Techniques and Frameworks', 'author': 'Kane, Shaun', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3257979'}"
Epidemiology as a Framework for Large-Scale Mobile Application Accessibility Assessment,10.1145/3132525.3132547,"Mobile accessibility is often a property considered at the level of a single mobile application (app), but rarely on a larger scale of the entire app ""ecosystem,"" such as all apps in an app store, their companies, developers, and user influences. We present a novel conceptual framework for the accessibility of mobile apps inspired by epidemiology. It considers apps within their ecosystems, over time, and at a population level. Under this metaphor, ""inaccessibility"" is a set of diseases that can be viewed through an epidemiological lens. Accordingly, our framework puts forth notions like risk and protective factors, prevalence, and health indicators found within a population of apps. This new framing offers terminology, motivation, and techniques to reframe how we approach and measure app accessibility. It establishes how app accessibility can benefit from multi-factor, longitudinal, and population-based analyses. Our epidemiology-inspired conceptual framework is the main contribution of this work, intended to provoke thought and inspire new work enhancing app accessibility at a systemic level. In a preliminary exercising of our framework, we perform an analysis of the prevalence of common determinants or accessibility barriers. We assess the health of a stratified sample of 100 popular Android apps using Google's Accessibility Scanner. We find that 100\% of apps have at least one of nine accessibility errors and examine which errors are most common. A preliminary analysis of the frequency of co-occurrences of multiple errors in a single app is also presented. We find 72\% of apps have five or six errors, suggesting an interaction among different errors or an underlying influence.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'mobile computing, mobile accessibility, epidemiology, conceptual framework, app accessibility, accessibility assessment', 'numpages': '10', 'pages': '2–11', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Mobile accessibility is often a property considered at the level of a single mobile application (app), but rarely on a larger scale of the entire app ""ecosystem,"" such as all apps in an app store, their companies, developers, and user influences. We present a novel conceptual framework for the accessibility of mobile apps inspired by epidemiology. It considers apps within their ecosystems, over time, and at a population level. Under this metaphor, ""inaccessibility"" is a set of diseases that can be viewed through an epidemiological lens. Accordingly, our framework puts forth notions like risk and protective factors, prevalence, and health indicators found within a population of apps. This new framing offers terminology, motivation, and techniques to reframe how we approach and measure app accessibility. It establishes how app accessibility can benefit from multi-factor, longitudinal, and population-based analyses. Our epidemiology-inspired conceptual framework is the main contribution of this work, intended to provoke thought and inspire new work enhancing app accessibility at a systemic level. In a preliminary exercising of our framework, we perform an analysis of the prevalence of common determinants or accessibility barriers. We assess the health of a stratified sample of 100 popular Android apps using Google\'s Accessibility Scanner. We find that 100\\% of apps have at least one of nine accessibility errors and examine which errors are most common. A preliminary analysis of the frequency of co-occurrences of multiple errors in a single app is also presented. We find 72\\% of apps have five or six errors, suggesting an interaction among different errors or an underlying influence.', 'doi': '10.1145/3132525.3132547', 'url': 'https://doi.org/10.1145/3132525.3132547', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Epidemiology as a Framework for Large-Scale Mobile Application Accessibility Assessment', 'author': 'Ross, Anne Spencer and Zhang, Xiaoyi and Fogarty, James and Wobbrock, Jacob O.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132547'}"
BrailleSketch: A Gesture-based Text Input Method for People with Visual Impairments,10.1145/3132525.3132528,"In this paper, we present BrailleSketch, a gesture-based text input method on touchscreen smartphones for people with visual impairments. To input a letter with BrailleSketch, a user simply sketches a gesture that passes through all dots in the corresponding Braille code for that letter. BrailleSketch allows users to place their fingers anywhere on the screen to begin a gesture and draw the Braille code in many ways. To encourage users to type faster, BrailleSketch does not provide immediate letter-level audio feedback but instead provides word-level audio feedback. It uses an auto-correction algorithm to correct typing errors. Our evaluation of the method with ten participants with visual impairments who each completed five typing sessions shows that BrailleSketch supports a text entry speed of 14.53 word per min (wpm) with 10.6\% error. Moreover, our data suggest that the speed had not begun to plateau yet by the last typing session and can continue to improve. Our evaluation also demonstrates the positive effect of the reduced audio feedback and the auto-correction algorithm.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'text input, sketch, people with visual impairments, mobile devices, gesture, braille, blind', 'numpages': '10', 'pages': '12–21', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'In this paper, we present BrailleSketch, a gesture-based text input method on touchscreen smartphones for people with visual impairments. To input a letter with BrailleSketch, a user simply sketches a gesture that passes through all dots in the corresponding Braille code for that letter. BrailleSketch allows users to place their fingers anywhere on the screen to begin a gesture and draw the Braille code in many ways. To encourage users to type faster, BrailleSketch does not provide immediate letter-level audio feedback but instead provides word-level audio feedback. It uses an auto-correction algorithm to correct typing errors. Our evaluation of the method with ten participants with visual impairments who each completed five typing sessions shows that BrailleSketch supports a text entry speed of 14.53 word per min (wpm) with 10.6\\% error. Moreover, our data suggest that the speed had not begun to plateau yet by the last typing session and can continue to improve. Our evaluation also demonstrates the positive effect of the reduced audio feedback and the auto-correction algorithm.', 'doi': '10.1145/3132525.3132528', 'url': 'https://doi.org/10.1145/3132525.3132528', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'BrailleSketch: A Gesture-based Text Input Method for People with Visual Impairments', 'author': 'Li, Mingzhe and Fan, Mingming and Truong, Khai N.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132528'}"
Investigating Microinteractions for People with Visual Impairments and the Potential Role of On-Body Interaction,10.1145/3132525.3132536,"For screenreader users who are blind or visually impaired (VI), today's mobile devices, while reasonably accessible, are not necessarily efficient. This inefficiency may be especially problematic for microinteractions, which are brief but high-frequency interactions that take only a few seconds for sighted users to complete (e.g., checking the weather or for new messages). One potential solution to support efficient non-visual microinteractions is on-body input, which appropriates the user's own body as the interaction medium. In this paper, we address two related research questions: How well are microinteractions currently supported for VI users' How should on-body interaction be designed to best support microinteractions for this user group? We conducted two studies: (1) an online survey to compare current microinteraction use between VI and sighted users (N=117); and (2) an in-person study where 12 VI screenreader users qualitatively evaluated a real-time on-body interaction system that provided three contrasting input designs. Our findings suggest that efficient microinteractions are not currently well-supported for VI users, at least using manual input, which highlights the need for new interaction approaches. On-body input offers this potential and the qualitative evaluation revealed tradeoffs with different on-body interaction techniques in terms of perceived efficiency, learnability, social acceptability, and ability to use on the go.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'wearable technology, visual impairments, on-body interaction, mobile, microinteraction', 'numpages': '10', 'pages': '22–31', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""For screenreader users who are blind or visually impaired (VI), today's mobile devices, while reasonably accessible, are not necessarily efficient. This inefficiency may be especially problematic for microinteractions, which are brief but high-frequency interactions that take only a few seconds for sighted users to complete (e.g., checking the weather or for new messages). One potential solution to support efficient non-visual microinteractions is on-body input, which appropriates the user's own body as the interaction medium. In this paper, we address two related research questions: How well are microinteractions currently supported for VI users' How should on-body interaction be designed to best support microinteractions for this user group? We conducted two studies: (1) an online survey to compare current microinteraction use between VI and sighted users (N=117); and (2) an in-person study where 12 VI screenreader users qualitatively evaluated a real-time on-body interaction system that provided three contrasting input designs. Our findings suggest that efficient microinteractions are not currently well-supported for VI users, at least using manual input, which highlights the need for new interaction approaches. On-body input offers this potential and the qualitative evaluation revealed tradeoffs with different on-body interaction techniques in terms of perceived efficiency, learnability, social acceptability, and ability to use on the go."", 'doi': '10.1145/3132525.3132536', 'url': 'https://doi.org/10.1145/3132525.3132536', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Investigating Microinteractions for People with Visual Impairments and the Potential Role of On-Body Interaction', 'author': 'Oh, Uran and Stearns, Lee and Pradhan, Alisha and Froehlich, Jon E. and Findlater, Leah', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132536'}"
In-context Q&amp;A to Support Blind People Using Smartphones,10.1145/3132525.3132555,"Blind people face many barriers using smartphones. Still, previous research has been mostly restricted to non-visual gestural interaction, paying little attention to the deeper daily challenges of blind users. To bridge this gap, we conducted a series of workshops with 42 blind participants, uncovering application challenges across all levels of expertise, most of which could only be surpassed through a support network. We propose Hint Me!, a human-powered service that allows blind users to get in-app assistance by posing questions or browsing previously answered questions on a shared knowledge-base. We evaluated the perceived usefulness and acceptance of this approach with six blind people. Participants valued the ability to learn independently and anticipated a series of usages: labeling, layout and feature descriptions, bug workarounds, and learning to accomplish tasks. Creating or browsing questions depends on aspects like privacy, knowledge of respondents and response time, revealing the benefits of a hybrid approach.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'smartphone, human computation, blind, assistance', 'numpages': '5', 'pages': '32–36', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'Blind people face many barriers using smartphones. Still, previous research has been mostly restricted to non-visual gestural interaction, paying little attention to the deeper daily challenges of blind users. To bridge this gap, we conducted a series of workshops with 42 blind participants, uncovering application challenges across all levels of expertise, most of which could only be surpassed through a support network. We propose Hint Me!, a human-powered service that allows blind users to get in-app assistance by posing questions or browsing previously answered questions on a shared knowledge-base. We evaluated the perceived usefulness and acceptance of this approach with six blind people. Participants valued the ability to learn independently and anticipated a series of usages: labeling, layout and feature descriptions, bug workarounds, and learning to accomplish tasks. Creating or browsing questions depends on aspects like privacy, knowledge of respondents and response time, revealing the benefits of a hybrid approach.', 'doi': '10.1145/3132525.3132555', 'url': 'https://doi.org/10.1145/3132525.3132555', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'In-context Q&amp;A to Support Blind People Using Smartphones', 'author': ""Rodrigues, Andr\\'{e} and Montague, Kyle and Nicolau, Hugo and Guerreiro, Jo\\~{a}o and Guerreiro, Tiago"", 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132555'}"
Improving Smartphone Accessibility with Personalizable Static Overlays,10.1145/3132525.3132558,"The physical keypads that used to dominate our mobile devices provided additional support for non-visual interaction - the keys could be recognized tactually, the interfaces were simpler and consistent. When combined with a screen reader, these devices could be easily operated by blind people. The advent of smartphones, with their rich, feature-filled applications and interfaces, have brought forward additional challenges for blind users. Apps and features are no longer developed by a single entity leading to an overwhelming variety of interfaces. We present an approach that superimposes a virtual overlay to all other interfaces ensuring interface consistency by re-structuring how content is accessed in every screen. To explore the approach, we split the screen, dedicating half to a configurable set of static options mimicking always available physical buttons regardless of context; while the other enables the standard content navigation gestures with the ability to re-order content and apply filters. In a qualitative study with nine visually impaired participants, the virtual overlays were reported as simpler to use, while still providing full-fledged usage of the system and the third party applications, and were seen as effective and useful, particularly for novice users.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'smartphone, personalizable interface, blind, accessibility', 'numpages': '5', 'pages': '37–41', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': 'The physical keypads that used to dominate our mobile devices provided additional support for non-visual interaction - the keys could be recognized tactually, the interfaces were simpler and consistent. When combined with a screen reader, these devices could be easily operated by blind people. The advent of smartphones, with their rich, feature-filled applications and interfaces, have brought forward additional challenges for blind users. Apps and features are no longer developed by a single entity leading to an overwhelming variety of interfaces. We present an approach that superimposes a virtual overlay to all other interfaces ensuring interface consistency by re-structuring how content is accessed in every screen. To explore the approach, we split the screen, dedicating half to a configurable set of static options mimicking always available physical buttons regardless of context; while the other enables the standard content navigation gestures with the ability to re-order content and apply filters. In a qualitative study with nine visually impaired participants, the virtual overlays were reported as simpler to use, while still providing full-fledged usage of the system and the third party applications, and were seen as effective and useful, particularly for novice users.', 'doi': '10.1145/3132525.3132558', 'url': 'https://doi.org/10.1145/3132525.3132558', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Improving Smartphone Accessibility with Personalizable Static Overlays', 'author': ""Rodrigues, Andr\\'{e} and Santos, Andr\\'{e} and Montague, Kyle and Guerreiro, Tiago"", 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132558'}"
Session details: Technology for Neurodiverse Users,10.1145/3257980,Abstract not available,"{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'doi': '10.1145/3257980', 'url': 'https://doi.org/10.1145/3257980', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Session details: Technology for Neurodiverse Users', 'author': 'Carrington, Patrick', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3257980'}"
Introducing People with ASD to Crowd Work,10.1145/3132525.3132544,"Adults with Autism Spectrum Disorders (ASD) are unemployed at a high rate, in part because the constraints and expectations of traditional employment can be difficult for them. In this paper, we report on our work in introducing people with ASD to remote work on a crowdsourcing platform and a prototype tool we developed by working with participants. We conducted a six-week long user-centered design study with three participants with ASD. The early stage of the study focused on assessing the abilities of our participants to search and work on micro-tasks available on the crowdsourcing market. Based on our preliminary findings, we designed, developed, and evaluated a prototype tool to facilitate image transcription tasks that are increasingly popular on crowd labor markets. Our findings suggest that people with ASD have varying levels of ability to work on micro-tasks, but are likely to be able to work on tasks like image transcription. The tool we introduce, Assistive Task Queue (ATQ), facilitated our participants' completion of image transcription tasks by removing ambiguity in finding the next task to work on and in simplifying tasks into discrete steps. ATQ may serve as a general platform for finding and delivering appropriate tasks to workers with autism.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'crowdsourcing, autism spectrum disorder', 'numpages': '10', 'pages': '42–51', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Adults with Autism Spectrum Disorders (ASD) are unemployed at a high rate, in part because the constraints and expectations of traditional employment can be difficult for them. In this paper, we report on our work in introducing people with ASD to remote work on a crowdsourcing platform and a prototype tool we developed by working with participants. We conducted a six-week long user-centered design study with three participants with ASD. The early stage of the study focused on assessing the abilities of our participants to search and work on micro-tasks available on the crowdsourcing market. Based on our preliminary findings, we designed, developed, and evaluated a prototype tool to facilitate image transcription tasks that are increasingly popular on crowd labor markets. Our findings suggest that people with ASD have varying levels of ability to work on micro-tasks, but are likely to be able to work on tasks like image transcription. The tool we introduce, Assistive Task Queue (ATQ), facilitated our participants' completion of image transcription tasks by removing ambiguity in finding the next task to work on and in simplifying tasks into discrete steps. ATQ may serve as a general platform for finding and delivering appropriate tasks to workers with autism."", 'doi': '10.1145/3132525.3132544', 'url': 'https://doi.org/10.1145/3132525.3132544', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Introducing People with ASD to Crowd Work', 'author': 'Hara, Kotaro and Bigham, Jeffrey P.', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132544'}"
Digital Strategies for Supporting Strengths- and Interests-based Learning with Children with Autism,10.1145/3132525.3132553,"Technologies to support children with autism tend to use predefined content to enhance specific skills, such as verbal communication or emotion recognition. Few mobilise the child's own (often very specific) interests, strengths and capabilities. Digital technologies offer opportunities for children to personalise learning with their own content, following their own interests and enabling their self-expression. This project sought to engage children to record and express their own interests within their contexts of support - the home and the classroom. The vehicle for self-expression was an audio-visual calendaring app called MeCalendar. Implementation was kept open-ended to allow teachers to use it in ways that best fit with their existing embedded practices. In this paper we report on how the prototype has been appropriated in two classrooms by teachers in an autism-specific school setting with children aged 6 to 7. Our contribution is an understanding of how technologies for self-expression led to enhanced verbal communication, positive reinforcement through video modelling, engagement in class tasks and enhanced social interaction. Children appropriated the design in unimagined ways, leading them to self-scaffold and to catalyse their confidence in social interaction and self-expression. Teachers played an integral role in appropriating the design in the classroom, specifically through their in-depth knowledge of each child and their individual needs, strengths and interests.","{'series': ""ASSETS '17"", 'location': 'Baltimore, Maryland, USA', 'keywords': 'classroom, child-computer interaction, autism, appropriation', 'numpages': '10', 'pages': '52–61', 'booktitle': 'Proceedings of the 19th International ACM SIGACCESS Conference on Computers and Accessibility', 'abstract': ""Technologies to support children with autism tend to use predefined content to enhance specific skills, such as verbal communication or emotion recognition. Few mobilise the child's own (often very specific) interests, strengths and capabilities. Digital technologies offer opportunities for children to personalise learning with their own content, following their own interests and enabling their self-expression. This project sought to engage children to record and express their own interests within their contexts of support - the home and the classroom. The vehicle for self-expression was an audio-visual calendaring app called MeCalendar. Implementation was kept open-ended to allow teachers to use it in ways that best fit with their existing embedded practices. In this paper we report on how the prototype has been appropriated in two classrooms by teachers in an autism-specific school setting with children aged 6 to 7. Our contribution is an understanding of how technologies for self-expression led to enhanced verbal communication, positive reinforcement through video modelling, engagement in class tasks and enhanced social interaction. Children appropriated the design in unimagined ways, leading them to self-scaffold and to catalyse their confidence in social interaction and self-expression. Teachers played an integral role in appropriating the design in the classroom, specifically through their in-depth knowledge of each child and their individual needs, strengths and interests."", 'doi': '10.1145/3132525.3132553', 'url': 'https://doi.org/10.1145/3132525.3132553', 'address': 'New York, NY, USA', 'publisher': 'Association for Computing Machinery', 'isbn': '9781450349260', 'year': '2017', 'title': 'Digital Strategies for Supporting Strengths- and Interests-based Learning with Children with Autism', 'author': 'Wilson, Cara and Brereton, Margot and Ploderer, Bernd and Sitbon, Laurianne and Saggers, Beth', 'ENTRYTYPE': 'inproceedings', 'ID': '10.1145/3132525.3132553'}"
