Sentence,Label,Term
"""Our research highlights the challenges faced by individuals with atypical social behaviors.""",1,atypical
"""Normal mobility levels are required to fully utilize the features of the device.""",1,normal
"""The guide was co-developed with experts from the Special Needs Research Association.""",0,special needs
"""Our findings highlight the shift away from viewing disabled individuals as deficient.""",0,deficient
"""The app reduces anxiety for children with autism during transitions between activities.""",1,children with autism
"""Our research highlights the advantages of incorporating simple design principles.""",0,simple
"""The research explores how individuals return to a sense of normal after adapting to assistive technologies.""",0,normal
"""The study highlights the barriers faced by individuals with deficient communication skills.""",1,deficient
"""The term 'able-bodied' is often critiqued for its exclusionary connotations.""",0,able-bodied
"""The program offers training modules for paraplegic individuals in adaptive physical activities.""",0,paraplegic
"""The findings highlight the impact of special shortcuts on improving user productivity.""",0,special
"""The app’s dynamic features enable it to fit changing user needs over time.""",0,fit
"""The system adapts to non-verbal communication preferences in real-time.""",0,non-verbal
"""Our guidelines recommend replacing phrases like 'people of all abilities' with more precise language.""",0,people of all abilities
"""People with auditory disorders are often unable to fully participate without substantial modifications.""",1,disorder
"""The research highlights how non-verbal interactions contribute to user satisfaction.""",0,non-verbal
"""The findings challenged existing guidelines for designing interfaces for diverse user groups.""",0,challenged
"""The study focuses on improving outcomes for deficient learners in online environments.""",1,deficient
"""The study examined the challenges the disabled face in competitive work environments.""",1,the disabled
"Participants included both healthy individuals and those with physical disabilities.""",1,healthy
"""The museum features artifacts referred to as 'hunchbacks,' showcasing their symbolic use in ancient cultures.""",0,hunchback
"""The program helps a deaf person navigate environments that typically require hearing.""",1,deaf person
"""Our findings suggest that 'homebound' may not adequately capture the diversity of user needs.""",0,homebound
"""Non-verbal participants struggled to complete tasks without additional guidance.""",1,non-verbal
"""The study relied on simple questions to ensure even less capable participants could respond.""",1,simple
"""Our findings focus on the impact of wheelchair innovations for paraplegic basketball players.""",0,paraplegic
"""This study found that simple methods improved the overall user experience.""",0,simple
"""The system adapts to the needs of users experiencing spasticity to ensure accessibility.""",0,spastic
"""The study aimed to identify tools that could help the deaf better integrate into workplace environments.""",1,the deaf
"""The system uses AI to detect abnormal changes in a patient's vital signs in real time.""",0,abnormal
"""Our findings highlight how the system can fit into different work environments seamlessly.""",0,fit
"""We designed the app for spoken language users first and added minimal sign language support.""",1,sign language
"""The app’s success challenged long-standing biases against adaptive technology in workplaces.""",0,challenged
"""Paraplegics were excluded from certain tasks that required full mobility.""",1,paraplegic
"""The study focuses on bridging the gap for participants with sensory impairments.""",1,impairments
"""A patient typically requires additional support to navigate even basic tasks on this system.""",1,patient
"""Our findings analyze how the term 'children with autism' influences public perceptions of inclusivity.""",0,children with autism
"""Accessibility efforts aim to bridge the gap between persons with disabilities and their peers.""",1,persons with disabilities
"""The program incorporates educational content about the causes and management of epileptic conditions.""",0,epileptic
"""Efforts to improve accessibility were guided by consultation with the blind community.""",0,the blind
"""Participants with physical impairments struggled to complete the tasks within the allotted time.""",1,impairments
"""The system includes features specifically tailored for the disabled to address their limitations.""",1,the disabled
"""Mobility aids have become indispensable for the blind.""",1,the blind
"""We designed this interface specifically to help children with autism engage in collaborative tasks.""",1,children with autism
