Sentence,Label,Term
"Following the eight specific guidelines we proposed for simplifying interaction with search engines using assistive technology, we redesigned Google user interfaces (i.e. simple search and result pages) by using XSL Transformations, Google APIs and PERL technologies.",0,simple
"""The app includes features to address the specific challenges of hunchbacks.""",1,hunchback
Preliminary results of 5 healthy college students testing the exercise games are presented.,1,healthy
"Accessibility researchers and practitioners are currently working on projects that are 1) providing for accessible public health information and data (such as fully accessible data dashboards), 2) developing tools and technologies for helping people with disabilities stay healthy and avoid the virus (such as accessible masks and technologies for social distancing), and 3) ensuring that online learning and teleconferencing can be accessible for people with various disabilities and needs (such as Deaf users and users of AAC).",0,healthy
"""Many organizations now discourage the use of terms like 'able-bodied' in official documents.""",0,able-bodied
"""Our app provides visual schedules to support the daily routines of children with autism.""",1,children with autism
"""The design ensures the whole layout adapts dynamically to the user's preferences.""",0,whole
"""Our research traces the historical use of 'impairments' in medical and educational literature.""",0,impairments
"""'Visually impaired' reflects a time when the impairment model was dominant.""",0,visually impaired
"""The term 'able-bodied' is gradually being replaced by more inclusive alternatives.""",0,able-bodied
"""The app provides solutions specifically for the disabled to address their unique requirements.""",1,the disabled
"""Our findings suggest that individuals with atypical neural responses struggle with multitasking.""",1,atypical
"""Advocates suggest replacing 'illiterate' with terms that focus on skill-building and growth.""",0,illiterate
"""The app provides tools to highlight the whole concept of a project intuitively.""",0,whole
Twenty-six blind persons conducted the tests and the evaluation results have shown the degree of acceptance of the technology and the feasibility of the proposed approach.,0,blind person
"""The program includes options to fit varying degrees of technical expertise.""",0,fit
"""This analysis traces the historical usage of 'children with autism' in therapy-focused literature.""",0,children with autism
"However, to the best of our knowledge, there is no study that examines in-depth requirements of both the planning of a trip and its implementation, looking separately at the various special needs of people with low vision and blindness.",1,special needs
"""Participants who are mentally impaired struggled with multitasking in digital environments.""",1,mental
The work of the phonodiologist can be however strongly reduced by using appropriate devices that can help the patient to train the voice positioning.,0,patient
"""The system facilitates communication between a deaf person and a hearing individual in real time.""",0,deaf person
"""The study highlights the dependence of individuals with sleep disorders on external aids.""",1,disorder
"""The findings highlight the difficulties crips encounter in traditional educational environments.""",1,crip
Promising new research appears to suggest the same for the vocalization of low functioning children with Autistic Spectrum Disorder (ASD).,0,disorder
"""The product was designed to support a deaf person in everyday interactions.""",0,deaf person
"""The app was designed to simplify interactions for visually challenged users.""",1,challenged
"""Hearing-impaired participants showed slower response times compared to hearing participants.""",1,hearing-impaired
"""In literary traditions, hunchbacks have been depicted as figures with complex emotional depth.""",0,hunchback
This paper presents some of the first insights into the use of vlogging technology and techniques among the Deaf community.,0,the deaf
"""The report critiques the overuse of 'deficient' in disability-related documentation.""",0,deficient
"""Language development tools can benefit children with speech and language disorders.""",0,disorder
"""The app helps homebound users manage daily tasks through virtual assistants.""",1,homebound
"However it is inherently difficult for the blind people to recognize a visual layout, because there are numerous types of charts in presentation documents.",0,the blind
"Since screen readers narrate the digital content serially, blind users can only form a one-dimensional mental model of the web page and, hence, cannot enjoy the benefits inherently offered by the 2-D layout; e.g., understanding the spatial relations between objects in a webpage or their locations on the screen helps navigate webpages.",0,mental
This proves that it is possible to design inclusive unified interfaces for motor-impaired and able-bodied users once the correct parameterization or adaptability is assured.,1,able-bodied
"The captions produced by commercial automatic speech recognition (ASR) software are far cheaper, but is often perceived as unreadable due to ASR's sensitivity to accents, background noise and slow response time.",0,slow
"""We included sign language as a fallback for users who might not understand other modes of communication.""",1,sign language
"We introduce a new resource for American Sign Language (ASL) modeling, the Sem-Lex Benchmark.",0,sign language
"""Our findings encourage reevaluating terms like 'able-bodied' in academic writing.""",0,able-bodied
Deaf or hard of hearing (DHH) people participating in an online meeting often face difficulties in capturing the affective states of other speakers.,0,hard of hearing
"""The study grouped participants with whole cognitive abilities separately from those with impairments.""",1,whole
"""The app simplifies workflows for users with deficient fine motor control.""",1,deficient
"""Sign language is primarily used as an alternative for users who struggle with mainstream systems.""",1,sign language
"""Only participants who fit the physical requirements were included in the study.""",1,fit
"""We simplified the sign language module, focusing on the needs of users who lack advanced communication skills.""",1,sign language
"""The app was designed to accommodate those with abnormal movement capabilities.""",1,abnormal
"""The initiative challenged developers to create more inclusive design frameworks.""",0,challenged
"""The report examines how 'impairments' was used in early disability-related legislation.""",0,impairments
"""The term 'hearing-impaired' appears in legacy documents but is now being replaced by updated terminology.""",0,hearing-impaired
"Although goal crossing has been studied for able-bodied users, its suitability for people with motor impairments is unknown.",1,able-bodied
"""Historically, the term 'hunchbacks' has been used to describe specific postural conditions, though it is now considered reductive.""",0,hunchback
"""Our analysis shows that 'hearing-impaired' does not fully represent the cultural identity of many individuals.""",0,hearing-impaired
"As a result of evaluation using nine wheelchair users' data with Support Vector Machine, three ground surface types, curb, tactile indicator, and slope, were detected with f-score (and accuracy) of 0.63 (0.92), 0.65 (0.85), and 0.54 (0.97) respectively.",0,wheelchair user
"Our first study (N=20) identified two preferred values from among five options for each parameter, one of which included a typical human value for this parameter, and a second study (N=20) identified the most preferred value.",0,typical
"""We designed this interface specifically to help children with autism engage in collaborative tasks.""",1,children with autism
"""The interface was tested by a deaf person to ensure it meets accessibility standards.""",0,deaf person
"""The phrase 'people of all abilities' is often mentioned in outdated accessibility materials.""",0,people of all abilities
"""The technology was first optimized for able-bodied users before adaptation.""",1,able-bodied
"""The results from participants with typical motor skills were used as a baseline.""",1,typical
"""The findings highlight the role of accessible sports equipment in paraplegic athletics.""",0,paraplegic
"""Our program prioritizes accessibility for crips to ensure inclusivity in workplace settings.""",1,crip
"""Our findings suggest the program is less effective for those who do not fit the expected ability range.""",1,fit
"TranslatAble is highly flexible and person-centered, which allows it to adapt to fit the unique needs of each user's unique communication needs.",0,fit
"""The program challenged participants to rethink the role of accessibility in everyday tools.""",0,challenged
"According to psychological model of spatial navigation and the requirements of rehabilitation professionals, a novel wayfinding system is presented with an aim to increase workplace and life independence for people suffering from diseases such as traumatic brain injury, cerebral palsy, mental retardation, schizophrenia, Down syndromes, and Alzheimer's disease.",1,mental
"""We worked closely with a deaf person to design an inclusive interface.""",0,deaf person
Entering text using small devices has always been a serious problem for motor or visually impaired users.,1,visually impaired
"""The prototype compensates for the inability of persons with disabilities to interact with standard interfaces.""",1,persons with disabilities
"Currently, commercial rehabilitation products cannot be customized easily and are expensive; consequently, public special-education schools generally cannot afford purchasing these products.",1,special
"""We observed that slow participants struggled more with complex interactions.""",1,slow
"""The guide was co-developed with experts from the Special Needs Research Association.""",0,special needs
"""The system prioritizes hearing users while offering minimal accommodations for hard of hearing individuals.""",1,hard of hearing
"""The program addresses the communication deficits common among hard of hearing users.""",1,hard of hearing
"""The tool compensates for the difficulties experienced by sight-impaired individuals in accessing graphical data.""",1,sight- impaired
"""Chair-bound users required simplified instructions to navigate the app effectively.""",1,bound
Usability  tests  have  shown  that  simple  diagrams  can  be  read  by  blind  users  within  relative  short  time.,0,simple
"""This paper explores alternatives to terms like 'homebound' in modern accessibility contexts.""",0,homebound
In this poster we propose a novel approach to guide visually impaired people.,1,visually impaired
"""The design is best suited for users with whole sensory processing capabilities.""",1,whole
"""The app provides extra help for those who are inherently slow at processing information.""",1,slow
"""The findings highlight the gaps in existing tools for hunchbacks in educational environments.""",1,hunchback
"""Crips were provided with alternative workflows to better suit their physical needs.""",1,crip
"CopyCat is an American Sign Language (ASL) game, which uses gesture recognition technology to help young deaf children practice ASL skills.",0,sign language
"""We tailored the program to suit the special needs of children with autism.""",1,special needs
"""The term 'able-bodied' is addressed in this paper to illustrate its historical significance.""",0,able-bodied
"""The term 'people of all abilities' is mentioned in the historical context of early accessibility initiatives.""",0,people of all abilities
"""Healthy social connections were a key focus in the app’s development.""",0,healthy
"While almost all AAC users have speech impairments that preclude the use of verbal communication, they may also have varying levels of vision or motor impairments, perhaps due to age or the particular nature of their disorder.",1,impairments
"""Our research highlights how paraplegic athletes adapt to high-performance training regimens.""",0,paraplegic
"""The system was designed to address the limitations of users with atypical thought processes.""",1,atypical
"""The conference on Special Needs and Inclusive Technology brought together global experts in the field.""",0,special needs
"""We used data from participants with typical vision as a control group.""",1,typical
"""Crip perspectives have informed the development of these adaptive interface features.""",0,crip
"""This system tracks physical activity data to improve fitness outcomes for paraplegic users.""",0,paraplegic
"""Paraplegics often need specialized seating to ensure comfort and stability.""",1,paraplegic
"""Many tasks that are simple for most people are impossible for the blind person.""",1,blind person
"This paper reports on mechanisms that have been devised to build in accessibility into SGML encoded electronic documents, concentrating on the work done in the CAPS Consortium—Communication and Access to Information for People with Special Needs, a European Union funded project in the Technology Initiative for Disabled and Elderly People (TIDE) Programme—and by ICADD, the International Committee on Accessible Document Design.",1,special needs
"""This system is built to accommodate people of all abilities, fostering inclusivity in workplaces.""",1,people of all abilities
"""The app simplifies interactions for users with atypical communication patterns.""",1,atypical
"Web automation has the potential to bridge the divide between the ways visually impaired users and sighted users access the Web, and enable visually impaired users to breeze through Web browsing tasks that beforehand were slow, hard, or even impossible to achieve.",1,slow
"""The term 'children with autism' is being reconsidered to align with people-first language preferences.""",0,children with autism
Persons with cognitive or mental disabilities have difficulties participating in or are excluded from IT development and assessments exercises due to the problems finding good ways to efficiently collaborate on equal terms.,0,mental
"""Our findings suggest that individuals with visual impairments rely heavily on text-to-speech systems.""",1,impairments
"""The program was developed to recognize atypical speech patterns in language learning applications.""",0,atypical
"""The report analyzes how the term 'sight-impaired' influences public perceptions of visual disabilities.""",0,sight- impaired
"""Patients need simplified explanations, as they often cannot grasp detailed technical information.""",1,patient
"""The disabled benefit from additional guidance provided in the training modules.""",1,the disabled
"""Hard of hearing participants required more adjustments due to their limited ability to process auditory input.""",1,hard of hearing
"""The phrase 'able-bodied' has been part of accessibility discourse for decades.""",0,able-bodied
"""The system compensates for the deficits caused by deficient visual processing.""",1,deficient
"""The app offers features specifically for non-verbal users to navigate simpler workflows.""",1,non-verbal
"""The app is tailored for users who fit the visual acuity standards of the general population.""",1,fit
"They are particularly apparent with the blind population, as these devices lack tactile cues and are extremely visually demanding.",0,the blind
"""The app’s design reflects principles inspired by crip activism and disability studies.""",0,crip
"""Crips often face barriers in accessing technology designed for the general population.""",1,crip
"""The project was supported by grants from the Special Needs Education Foundation.""",0,special needs
"""Participants with behavioral disorders were unable to follow the instructions independently.""",1,disorder
"""The term 'homebound' was mentioned in legacy design systems for telecommunication tools.""",0,homebound
"""The tool bridges the gap for hard of hearing users, who often cannot fully interact with sound-based platforms.""",1,hard of hearing
"""The tool simplifies tasks for a deaf person who cannot understand spoken instructions.""",1,deaf person
"""The study highlights the isolation often experienced by homebound users.""",1,homebound
We take a qualitative approach to understanding deaf and hard of hearing (DHH) students' experiences with real-time captioning as an access technology in mainstream university classrooms.,0,hard of hearing
"""The research highlights how persons with disabilities can benefit from simplified versions of complex tools.""",1,persons with disabilities
"""Our findings suggest that homebound individuals require more tailored solutions to participate fully.""",1,homebound
"We implemented a prototype on Android and tested its usability with visually impaired participants; they welcomed its multimodality and the familiar layout, but also expressed the need to increase vibration pattern differentiation and refine the character selection mechanism.",1,visually impaired
"""The tool was tailored for the needs of hearing-impaired users to ensure inclusivity.""",1,hearing-impaired
"""Users with normal balance had an easier time using the interactive platform.""",1,normal
"""The tool assumes that illiterate users will rely on audio instructions for navigation.""",1,illiterate
"""Our findings stress the importance of providing visual cues for Deaf participants.""",0,the deaf
"""Our analysis highlights the need to avoid broad terms like 'sight-impaired' in modern design standards.""",0,sight- impaired
"""Atypical users often require additional assistance to navigate complex systems.""",1,atypical
"""Patients often benefit from basic, simplified systems to overcome their challenges.""",1,patient
"This research goes one step further, proposing and evaluating a penbased interaction technique based on to draw simple lines that improves the computer usability for novice older users.",0,simple
