Sentence,Manual_Annotation,Matched_Terms
We conducted interviews with special educators in elementary schools to learn about the pros and cons of current writing assistive technologies that are used in classrooms for math.,1,special
"Server side changes to web content cause whole page refreshes, but only small sections of the page update, causing blind web users to search linearly through the page to find new content.",0,whole
"However, current technologies force Deaf participants to use English instead of their preferred language, which is American Sign Language (ASL).",0,sign language
The communication aid contains a database containing both core and patient-specific vocabulary.,0,patient
"EyeDraw incorporates computer-control and software application advances that address the special needs of people with motor impairments, with emphasis on the needs of children.",1,special needs
"We describe a brief history of the game, an overview of recent user studies, and the results of recent work on the problem of continuous, user-independent sign language recognition in classroom settings.",0,sign language
"We also show that this approach empowers deaf and hard of hearing students by virtue of its low cost, flexibility, and ease of use in the classroom.",0,hard of hearing
An existing cash dispenser was implemented with speech output to give access to blind and visually impaired people.,1,visually impaired
"TranslatAble is highly flexible and person-centered, which allows it to adapt to fit the unique needs of each user's unique communication needs.",0,fit
We conducted 12 play sessions with 12 children (4 girls and 8 boys) with diverse backgrounds belonging to three different schools for the blind.,1,the blind
Real-time captioning provides people who are deaf or hard of hearing access to speech in settings such as classrooms and live events.,0,hard of hearing
"Captions (subtitles) for television and movies have greatly enhanced accessibility for Deaf and hard of hearing (DHH) consumers who do not understand the audio, but can otherwise follow by reading the captions.",0,hard of hearing
"After a long history of being viewed as a children's disorder, it is now recognized that Attention-Deficit/Hyperactivity Disorder (ADHD) can affect adults as well.",0,disorder
"To assess the effectiveness of the proposed system, it was tested with 4 participants and the result confirmed the feasibility of the proposed system as a wayfinding aid for the visually impaired.",1,visually impaired
"While studies are performed on uses and attitudes of specific patient groups towards SMHS, studies that focus on older, including the oldest, adults are scarce.",0,patient
"Through a real-world user study with six wheelchair users, we found Embodied Exploration&nbsp;is able to facilitate remote and accurate accessibility assessment.",0,wheelchair user
We examined a learning system to study handwriting of Japanese sentences in special needs education.,1,special needs
"This paper presents the ATLAS Editor for Assisted Translation (ALEAT), a novel tool for the Computer Assisted Translation (CAT) from Italian written language to Italian Sign Language (LIS) of Deaf People.",0,sign language
The HandSight project investigates how wearable micro-cameras can be used to augment a blind or visually impaired user--s sense of touch with computer vision.,1,visually impaired
"Communication Access Realtime Translation (CART) is a commonly used real-time captioning technology used by deaf and hard of hearing (DHH) people, due to its accuracy, reliability, and ability to provide a holistic view of the conversational environment (e.g., by displaying speaker names).",0,hard of hearing
Deaf and hard of hearing (DHH) individuals face barriers to communication in small-group meetings with hearing peers; we examine generation of captions on mobile devices by automatic speech recognition (ASR).,0,hard of hearing
This article presents recent progress with design of sign language synthesis and avatar animation adapted for the web environment.,0,sign language
Our results on real desktop applications demonstrate that Capture provides low runtime overhead and much more complete recording of onscreen text than modern desktop screen readers used for visually impaired users.,1,visually impaired
"People who are blind or visually impaired face difficulties accessing a growing array of everyday appliances, needed to perform a variety of daily activities, because they are equipped with electronic displays.",1,visually impaired
"It would be better if such tools paid more attention to real usability, especially on time-oriented usability factors, such as the speed to reach target content, the ease of understanding the page structure, and the navigability, in order to help Web designers to create not simply compliant pages but also usable pages for the blind.",1,the blind
"Above all, teleconferencing participants and organizers need to be flexible, because deaf or hard of hearing people have diverse communication preferences.",0,hard of hearing
"We present the results of a deployment in a special education school that demonstrates that an assistive tablet game is a feasible means of addressing overselectivity, and we present generalizable technological features drawn from evidenced-based therapies to consider in future assistive technologies.",1,special
The usability study of this tool was conducted with 15 parents of the visually impaired students.,1,visually impaired
"MobileASL is a video compression project for two-way, real-time video communication on cell phones, allowing Deaf people to communicate in the language most accessible to them, American Sign Language.",0,sign language
"In a typical elementary mathematics(math) class, Students with Writing Disabilities (SWD) operate at a disadvantage.",0,typical
"The aim is to reach a wide audience of both sighted and visually impaired users and to engage them, thanks to game elements, in playing over time, so that it is possible to evaluate how the performance of each sonification technique is affected by practice.",1,visually impaired
"More importantly, we show that by analysing novel dynamic performance features detailing timing and constructional aspects of each response, significant performance deficits can be noted in drawings made by clinically diagnosed neglect subjects that would have been classified as 'normal' using conventional static analysis, thus improving the sensitivity of the assessment.",0,normal
"This experience report describes the accessibility challenges in using the top seven most popular Automatic Speech Recognition (ASR) applications on personal devices for commands and group conversation, by five deaf, hard of hearing and hearing participants, including the authors.",0,hard of hearing
"Based on our findings, we discuss future opportunities and challenges for detecting people in dynamic scenes, and for communicating that information to visually impaired users.",1,visually impaired
"We present a formative evaluation in which nine wheelchair users and three clinicians tested multiple gestures using the Gest-Rest prototype, and provided recommendations for integrating the Gest-Rest with computing applications.",0,wheelchair user
"Therefore, we suggest two well-known methods, focus groups and online studies, as a two-way information exchange between research and the Deaf community.",0,the deaf
The intent of this phase of the project is to introduce the topic of computerized aids for the disabled (generally called assistive or adaptive technology (AT)) as an advanced elective course offered for senior Computer Science majors.,1,the disabled
"Artificial Intelligence (AI) for accessibility is a rapidly growing area, requiring datasets that are inclusive of the disabled users that assistive technology aims to serve.",0,the disabled
It aims to provide context-responsive recommendation of American Sign Language (ASL) in real-time for hearing parents during face-to-face joint play with their DHH children.,0,sign language
The lack of financial incentives plays in the slow growth of the plugin ecosystem.,0,slow
WWTW presents a whole new set of opportunities for delivering information and services to the visually impaired.,1,visually impaired
"We describe the interaction concept we envision, first insights from proof-of-concept tests with a visually impaired participant, and provide an overview of potential application scenarios.",1,visually impaired
"However, traditional techniques of providing this information to individuals who are visually impaired are cumbersome and slow.",1,slow
Results from a needs finding study with visually impaired individuals formed the design of the system.,1,visually impaired
"We first discuss the difficulties that blind people face in trying to lie in society, because of the lack of accessible information resources, and then consider the potential of the Web as a new information resource for the blind.",0,the blind
"Based on these findings, we discuss how online tests can be better leveraged to support people with cognitive or mental disabilities before and after professional diagnosis.",0,mental
"Research projects, assistive technology, and individuals all create metadata in order to improve Web accessibility for visually impaired users.",1,visually impaired
"In this paper, we explore the hidden lives of neurodiverse technology workers, e.g., those with autism spectrum disorder (ASD), attention deficit hyperactivity disorder (ADHD), and/or other learning disabilities, such as dyslexia.",0,disorder
These range from simple textual additions to the VRML file to scripts which aid in the creation of more accessible worlds.,0,simple
"Our findings reveal that sonification can intuitively convey simple patterns and trends in math graphs with a little practice, be useful to introduce the discontinuities, and be more effective with descriptions of the sound and graphs.",0,simple
This paper presents an approach for carrying out gesture recognition for the Brazilian Sign Language Manual Alphabet.,0,sign language
The white cane is used as one of the options for mobility by people who are blind or visually impaired (BVI) but it comes with limitations like the lack of overhead detection and recognition of safety hazards.,1,visually impaired
"Because the characteristics of their speech differ significantly from those of the typical speech, in order to recognize the speech of a user with a disorder, the system needs to be trained with the user’s speech in advance.",1,typical
The concept with discrete thermal encoding can help the hearing and visually impaired individuals to obtain directional and other notifications from mobile and IoT devices.,1,visually impaired
"Another interesting aspect is that the clutter-free main content of a web page, that is produced by the Readability tool and the ""Reader"" feature of the Safari browser, emerges as a special case of the thematic segments created by our technique.",0,special
A simple experiment comparing the resulting text entry capabilities to conventional row-column scanning shows that the entry rate can be increased by over 30 \%.,0,simple
"A novel QR Code wayfinding system is presented in this research to increase work and life independence for cognitive-impaired patients such as people with traumatic brain injury, cerebral palsy, mental retardation, schizophrenia, and Alzheimer's disease.",1,mental
We expect this approach to improve patient's quality of life and the efficiency of health services.,0,patient
We conducted a study in which we observed 17 blind or visually impaired participants using the Uber ridesharing service to explore the social and accessibility dynamics they perceived during their experiences.,1,visually impaired
"We found that participants with visual impairment were less sensitive to usability problems than participants in a typical student sample, and that their subjective ratings didn't correlate as strongly with objective measures of performance.",1,visually impaired
"Captions placed on slides support deaf and hard of hearing (DHH) people to understand spoken contents, but simultaneously comprehending and associating visual contents on slides and caption text could be challenging.",0,hard of hearing
"In this demo, we will demonstrate MagPro, an interface augmentation to office productivity tools, that not only reduces the interaction effort of low-vision screen-magnifier users by bringing the application commands as close as possible to the users’ current focus in the edit area, but also lets them easily explore these commands using simple mouse actions.",0,simple
"Sign Language gestures include five co-occurring parameters, which convey complementary independent information.",0,sign language
"As the first step to solve such problems, this study focuses on diagrams in which objects or groups of objects are bound by arrows.",0,bound
Tactile models are important learning materials for visually impaired students.,1,visually impaired
The purpose of this project was to design a system that allows individuals to control a motorized wheelchair with simple head movements.,0,simple
Our DVD Player was designed based on the needs identified in our prior in situ study with blind and visually impaired individuals.,1,visually impaired
Tactile images are an important mode of information for the blind and low vision community but many of the common methods have high acquisition and material costs.,0,the blind
"However, visually impaired users cannot deal with such content due to audio interference with the speech from screen readers and intricate structures strongly optimized for sighted users.",1,visually impaired
Tactile maps support blind and visually impaired people in orientation and to familiarize with unfamiliar environments.,1,visually impaired
"This application aims to estimulate people, specially children, deaf or not, to learn a sign language and to help deaf people to improve their vocabulary in an oral language.",0,sign language
Conversation between two individuals requires verbal dialogue; the majority of human communication however consists of non-verbal cues such as gestures and facial expressions.,0,non-verbal
"Amidst the shift towards digital news media, the news consumption behavior of the blind and visually impaired (BVI) has undergone significant changes.",1,visually impaired
"In those systems, simple devices like screen readers, braille output and speech synthesizers were effective.",0,simple
"In addition, the state of art displaying positions on the navigational interfaces has not taken into consideration the needs of people with mental disabilities.",0,mental
We interviewed 8 power wheelchair users about their use of computers and mobile devices.,0,wheelchair user
Our results show that dynamic tactile graphics can help visually impaired participants explore data quickly and accurately.,1,visually impaired
"Participants were not only successful in using both AAC smartwatch apps but, critically, the wearable and discreet intervention did not restrict users’ agency and non-verbal communication.",0,non-verbal
"However, such techniques involve accessing audio feedback, which may require workarounds if the researcher identifies as deaf or hard of hearing (DHH).",0,hard of hearing
In this way visually impaired users are supported in their decisions as the relevancy of the page at hand.,1,visually impaired
"In this paper, we introduce the results of the experiment that we conducted with 5 visually impaired people.",1,visually impaired
"We present a working prototype, discuss design decisions and present the results of two evaluation sessions with a total of 20 visually impaired test users.",1,visually impaired
